Level,Jumlah Sesi (Node),Jumlah Konflik (Edge),Densitas Graph,Greedy - Warna Minimum,Greedy - Waktu (ms),Greedy - Slot Terisi,Greedy - Pelanggaran,DSATUR - Warna Minimum,DSATUR - Waktu (ms),DSATUR - Slot Terisi,DSATUR - Pelanggaran,Efisiensi DSATUR (%)
1,50,602,0.491,16,0.0879,50/50,0,15,0.3511,50/50,0,6.25
2,65,876,0.421,14,0.1055,50/50,0,14,0.5306,50/50,0,0.0
3,80,1427,0.452,20,0.1603,50/50,0,18,0.8288,50/50,0,10.0
4,95,1753,0.393,21,0.2083,50/50,0,16,0.9907,50/50,0,23.81
5,110,2333,0.389,23,0.2673,50/50,0,21,1.2719,50/50,0,8.7
